"filename", "language", "Java", "Markdown", "XML", "Java Properties", "SQL", "comment", "blank", "total"
"c:\Users\annat\GitRepo\clidocker\dependency-reduced-pom.xml", "XML", 0, 0, 150, 0, 0, 0, 1, 151
"c:\Users\annat\GitRepo\clidocker\pom.xml", "XML", 0, 0, 161, 0, 0, 2, 16, 179
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\Containers.java", "Java", 63, 0, 0, 0, 0, 7, 15, 85
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\DBThread.java", "Java", 78, 0, 0, 0, 0, 17, 22, 117
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\DockerStatistics.java", "Java", 52, 0, 0, 0, 0, 13, 23, 88
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\Dockerpr.java", "Java", 63, 0, 0, 0, 0, 8, 31, 102
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\Main2.java", "Java", 96, 0, 0, 0, 0, 10, 50, 156
"c:\Users\annat\GitRepo\clidocker\src\main\java\mainPackage\SQLServerRESTClient.java", "Java", 111, 0, 0, 0, 0, 23, 33, 167
"c:\Users\annat\GitRepo\clidocker\src\main\resources\Delete records and reset values.sql", "SQL", 0, 0, 0, 0, 5, 4, 5, 14
"c:\Users\annat\GitRepo\clidocker\src\main\resources\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\annat\GitRepo\clidocker\src\test\READM.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\annat\GitRepo\clidocker\src\test\java\mainPackage\ContainersTest.java", "Java", 42, 0, 0, 0, 0, 6, 13, 61
"c:\Users\annat\GitRepo\clidocker\src\test\java\mainPackage\DBThreadTest.java", "Java", 45, 0, 0, 0, 0, 5, 13, 63
"c:\Users\annat\GitRepo\clidocker\src\test\java\mainPackage\DockerStatisticsTest.java", "Java", 69, 0, 0, 0, 0, 6, 21, 96
"c:\Users\annat\GitRepo\clidocker\src\test\java\mainPackage\DockerprTest.java", "Java", 63, 0, 0, 0, 0, 6, 22, 91
"c:\Users\annat\GitRepo\clidocker\src\test\java\mainPackage\SQLServerRESTClientTest.java", "Java", 33, 0, 0, 0, 0, 6, 15, 54
"c:\Users\annat\GitRepo\clidocker\src\test\resources\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\annat\GitRepo\clidocker\target\classes\Delete records and reset values.sql", "SQL", 0, 0, 0, 0, 5, 4, 5, 14
"c:\Users\annat\GitRepo\clidocker\target\classes\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\Containers.class", "Java", 41, 0, 0, 0, 0, 0, 0, 41
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\DBThread.class", "Java", 86, 0, 0, 0, 0, 0, 3, 89
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\DockerStatistics.class", "Java", 42, 0, 0, 0, 0, 0, 0, 42
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\Dockerpr.class", "Java", 43, 0, 0, 0, 0, 0, 0, 43
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\Main2.class", "Java", 66, 0, 0, 0, 0, 0, 1, 67
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\SQLServerRESTClient$DataHandler.class", "Java", 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\annat\GitRepo\clidocker\target\classes\mainPackage\SQLServerRESTClient.class", "Java", 43, 0, 0, 0, 0, 0, 0, 43
"c:\Users\annat\GitRepo\clidocker\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 3, 0, 1, 1, 5
"c:\Users\annat\GitRepo\clidocker\target\surefire-reports\TEST-mainPackage.ContainersTest.xml", "XML", 0, 0, 75, 0, 0, 0, 0, 75
"c:\Users\annat\GitRepo\clidocker\target\surefire-reports\TEST-mainPackage.DBThreadTest.xml", "XML", 0, 0, 62, 0, 0, 0, 0, 62
"c:\Users\annat\GitRepo\clidocker\target\surefire-reports\TEST-mainPackage.DockerStatisticsTest.xml", "XML", 0, 0, 124, 0, 0, 0, 0, 124
"c:\Users\annat\GitRepo\clidocker\target\surefire-reports\TEST-mainPackage.DockerprTest.xml", "XML", 0, 0, 123, 0, 0, 0, 0, 123
"c:\Users\annat\GitRepo\clidocker\target\surefire-reports\TEST-mainPackage.SQLServerRESTClientTest.xml", "XML", 0, 0, 68, 0, 0, 0, 0, 68
"c:\Users\annat\GitRepo\clidocker\target\test-classes\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\ContainersTest.class", "Java", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\DBThreadTest.class", "Java", 25, 0, 0, 0, 0, 0, 0, 25
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\DockerStatisticsTest$1.class", "Java", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\DockerStatisticsTest$2.class", "Java", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\DockerStatisticsTest.class", "Java", 30, 0, 0, 0, 0, 0, 0, 30
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\DockerprTest.class", "Java", 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\annat\GitRepo\clidocker\target\test-classes\mainPackage\SQLServerRESTClientTest.class", "Java", 29, 0, 0, 0, 0, 0, 0, 29
"Total", "-", 1238, 6, 763, 3, 10, 118, 296, 2434
